time,tag,camera,x,y
1642260760896,4,1,2.219,8.157
1642260760915,5,2,0.571,6.499
1642260760940,4,1,2.219,8.157
1642260760950,5,2,0.57,6.499
1642260760986,5,2,0.571,6.499
1642260760982,4,1,2.22,8.157
1642260761021,5,2,0.571,6.499
1642260761027,4,1,2.219,8.157
1642260761056,5,2,0.571,6.499
1642260761063,4,1,2.219,8.157
1642260761090,5,2,0.571,6.499
1642260761107,4,1,2.219,8.157
1642260761124,5,2,0.571,6.499
1642260761159,5,2,0.571,6.499
1642260761150,4,1,2.22,8.157
1642260761193,5,2,0.571,6.499
1642260761194,4,1,2.22,8.157
1642260761229,5,2,0.571,6.499
1642260761238,4,1,2.219,8.157
1642260761264,5,2,0.571,6.499
1642260761283,4,1,2.219,8.157
1642260761296,5,2,0.571,6.499
1642260761325,4,1,2.22,8.157
1642260761331,5,2,0.571,6.498
1642260761366,5,2,0.571,6.499
1642260761362,4,1,2.219,8.157
1642260761401,5,2,0.571,6.499
1642260761406,4,1,2.219,8.157
1642260761435,5,2,0.57,6.499
1642260761450,4,1,2.219,8.157
1642260761471,5,2,0.571,6.499
1642260761495,4,1,2.22,8.157
1642260761504,5,2,0.574,6.499
1642260761538,5,2,0.578,6.498
1642260761537,4,1,2.219,8.157
1642260761575,5,2,0.583,6.498
1642260761578,4,1,2.219,8.156
1642260761608,5,2,0.589,6.498
1642260761619,4,1,2.218,8.153
1642260761664,4,1,2.219,8.148
1642260761676,5,2,0.605,6.497
1642260761711,5,2,0.614,6.498
1642260761710,4,1,2.218,8.142
1642260761746,5,2,0.623,6.498
1642260761754,4,1,2.217,8.129
1642260761780,5,2,0.631,6.497
1642260761813,5,2,0.64,6.498
1642260761805,4,1,2.218,8.123
1642260761847,5,2,0.647,6.497
1642260761847,4,1,2.216,8.109
1642260761884,5,2,0.654,6.497
1642260761890,4,1,2.216,8.102
1642260761919,5,2,0.66,6.496
1642260761930,4,1,2.215,8.095
1642260761952,5,2,0.666,6.497
1642260761974,4,1,2.215,8.082
1642260761988,5,2,0.673,6.495
1642260762023,5,2,0.679,6.496
1642260762018,4,1,2.215,8.076
1642260762057,5,2,0.685,6.495
1642260762062,4,1,2.215,8.068
1642260762092,5,2,0.692,6.495
1642260762105,4,1,2.215,8.061
1642260762126,5,2,0.698,6.494
1642260762159,5,2,0.705,6.495
1642260762151,4,1,2.215,8.047
1642260762193,5,2,0.718,6.494
1642260762195,4,1,2.215,8.04
1642260762229,5,2,0.725,6.493
1642260762233,4,1,2.215,8.033
1642260762264,5,2,0.731,6.493
1642260762275,4,1,2.215,8.02
1642260762297,5,2,0.738,6.493
1642260762319,4,1,2.215,8.013
1642260762333,5,2,0.745,6.492
1642260762367,5,2,0.752,6.493
1642260762363,4,1,2.214,8.007
1642260762401,5,2,0.758,6.492
1642260762406,4,1,2.214,8.001
1642260762437,5,2,0.766,6.492
1642260762450,4,1,2.214,7.989
1642260762471,5,2,0.773,6.492
1642260762494,4,1,2.213,7.982
1642260762504,5,2,0.779,6.492
1642260762537,4,1,2.213,7.975
1642260762538,5,2,0.786,6.492
1642260762575,5,2,0.793,6.492
1642260762574,4,1,2.212,7.961
1642260762610,5,2,0.8,6.493
1642260762617,4,1,2.212,7.954
1642260762645,5,2,0.806,6.493
1642260762660,4,1,2.211,7.947
1642260762680,5,2,0.813,6.493
1642260762704,4,1,2.211,7.94
1642260762713,5,2,0.819,6.493
1642260762749,5,2,0.826,6.492
1642260762748,4,1,2.21,7.925
1642260762785,5,2,0.833,6.492
1642260762787,4,1,2.211,7.918
1642260762819,5,2,0.841,6.492
1642260762828,4,1,2.21,7.91
1642260762854,5,2,0.848,6.492
1642260762871,4,1,2.21,7.897
1642260762889,5,2,0.854,6.493
1642260762915,4,1,2.209,7.89
1642260762923,5,2,0.862,6.493
1642260762958,5,2,0.869,6.492
1642260762958,4,1,2.209,7.883
1642260762994,5,2,0.877,6.493
1642260763000,4,1,2.209,7.877
1642260763028,5,2,0.89,6.492
1642260763039,4,1,2.209,7.864
1642260763064,5,2,0.897,6.491
1642260763083,4,1,2.209,7.858
1642260763098,5,2,0.903,6.492
1642260763134,5,2,0.908,6.491
1642260763127,4,1,2.209,7.851
1642260763168,5,2,0.913,6.491
1642260763171,4,1,2.21,7.844
1642260763203,5,2,0.919,6.491
1642260763214,4,1,2.209,7.831
1642260763237,5,2,0.925,6.49
1642260763257,4,1,2.208,7.824
1642260763272,5,2,0.931,6.489
1642260763307,5,2,0.938,6.49
1642260763298,4,1,2.208,7.818
1642260763343,5,2,0.945,6.489
1642260763344,4,1,2.207,7.804
1642260763379,5,2,0.952,6.489
1642260763381,4,1,2.208,7.798
1642260763414,5,2,0.959,6.489
1642260763425,4,1,2.207,7.791
1642260763449,5,2,0.965,6.489
1642260763469,4,1,2.207,7.784
1642260763485,5,2,0.972,6.49
1642260763519,5,2,0.979,6.49
1642260763512,4,1,2.206,7.77
1642260763554,5,2,0.985,6.491
1642260763556,4,1,2.207,7.763
1642260763590,5,2,0.991,6.491
1642260763593,4,1,2.206,7.756
1642260763624,5,2,0.997,6.491
1642260763636,4,1,2.206,7.743
1642260763657,5,2,1.003,6.491
1642260763680,4,1,2.206,7.737
1642260763693,5,2,1.009,6.491
1642260763726,5,2,1.015,6.491
1642260763723,4,1,2.206,7.729
1642260763761,5,2,1.021,6.49
1642260763766,4,1,2.207,7.723
1642260763802,5,2,1.034,6.49
1642260763807,4,1,2.206,7.709
1642260763839,5,2,1.042,6.49
1642260763846,4,1,2.206,7.703
1642260763872,5,2,1.05,6.49
1642260763888,4,1,2.206,7.696
1642260763906,5,2,1.058,6.49
1642260763942,5,2,1.066,6.49
1642260763932,4,1,2.206,7.69
1642260763976,5,2,1.074,6.49
1642260763977,4,1,2.205,7.676
1642260764011,5,2,1.081,6.489
1642260764021,4,1,2.205,7.67
1642260764046,5,2,1.088,6.49
1642260764057,4,1,2.205,7.663
1642260764080,5,2,1.095,6.488
1642260764103,4,1,2.204,7.649
1642260764114,5,2,1.101,6.488
1642260764151,5,2,1.107,6.488
