time,tag,camera,x,y
1639758814.63,4,1,2.204,8.161
1639758814.627,5,2,0.561,6.492
1639758814.666,4,1,2.204,8.161
1639758814.678,5,2,0.561,6.492
1639758814.701,4,1,2.204,8.161
1639758814.723,5,2,0.561,6.492
1639758814.736,4,1,2.204,8.161
1639758814.773,4,1,2.204,8.161
1639758814.767,5,2,0.561,6.492
1639758814.808,4,1,2.204,8.161
1639758814.818,5,2,0.561,6.492
1639758814.843,4,1,2.204,8.161
1639758814.865,5,2,0.561,6.492
1639758814.877,4,1,2.204,8.161
1639758814.914,4,1,2.204,8.161
1639758814.912,5,2,0.569,6.491
1639758814.95,4,1,2.204,8.161
1639758814.965,5,2,0.575,6.492
1639758814.984,4,1,2.204,8.161
1639758815.02,4,1,2.204,8.161
1639758815.012,5,2,0.582,6.491
1639758815.054,4,1,2.204,8.161
1639758815.065,5,2,0.6,6.492
1639758815.089,4,1,2.204,8.161
1639758815.118,5,2,0.611,6.491
1639758815.126,4,1,2.204,8.161
1639758815.162,4,1,2.204,8.161
1639758815.158,5,2,0.631,6.49
1639758815.197,4,1,2.204,8.161
1639758815.21,5,2,0.649,6.49
1639758815.234,4,1,2.204,8.161
1639758815.256,5,2,0.659,6.49
1639758815.271,4,1,2.204,8.161
1639758815.309,4,1,2.204,8.161
1639758815.303,5,2,0.667,6.49
1639758815.344,4,1,2.204,8.161
1639758815.359,5,2,0.684,6.49
1639758815.378,4,1,2.204,8.161
1639758815.415,4,1,2.204,8.161
1639758815.407,5,2,0.691,6.49
1639758815.453,4,1,2.204,8.159
1639758815.46,5,2,0.706,6.49
1639758815.488,4,1,2.203,8.155
1639758815.506,5,2,0.715,6.489
1639758815.523,4,1,2.203,8.15
1639758815.559,4,1,2.203,8.142
1639758815.553,5,2,0.732,6.49
1639758815.595,4,1,2.203,8.135
1639758815.606,5,2,0.741,6.489
1639758815.631,4,1,2.201,8.118
1639758815.653,5,2,0.758,6.489
1639758815.667,4,1,2.202,8.109
1639758815.704,4,1,2.202,8.1
1639758815.7,5,2,0.767,6.489
1639758815.739,4,1,2.201,8.092
1639758815.752,5,2,0.775,6.489
1639758815.775,4,1,2.201,8.084
1639758815.798,5,2,0.791,6.489
1639758815.811,4,1,2.201,8.076
1639758815.848,4,1,2.201,8.068
1639758815.845,5,2,0.8,6.489
1639758815.884,4,1,2.201,8.06
1639758815.897,5,2,0.817,6.488
