time,tag,camera,x,y
1639758888.789,5,2,2.912,6.475
1639758888.84,4,2,2.183,5.836
1639758888.84,5,2,2.914,6.475
1639758888.905,4,2,2.182,5.844
1639758888.905,5,2,2.913,6.475
1639758888.955,4,2,2.182,5.861
1639758888.955,5,2,2.913,6.475
1639758889.013,4,2,2.182,5.878
1639758889.013,5,2,2.913,6.475
1639758889.063,4,2,2.182,5.886
1639758889.063,5,2,2.913,6.475
1639758889.118,4,2,2.181,5.903
1639758889.118,5,2,2.913,6.475
1639758889.168,4,2,2.182,5.92
1639758889.168,5,2,2.913,6.475
1639758889.233,4,2,2.18,5.929
1639758889.233,5,2,2.913,6.475
1639758889.297,4,2,2.18,5.945
1639758889.297,5,2,2.913,6.475
1639758889.348,4,2,2.18,5.96
1639758889.348,5,2,2.913,6.475
1639758889.413,4,2,2.179,5.976
1639758889.413,5,2,2.913,6.475
1639758889.475,4,2,2.179,5.982
1639758889.475,5,2,2.913,6.475
1639758889.55,4,2,2.179,6.0
1639758889.55,5,2,2.913,6.475
1639758889.627,4,2,2.179,6.017
1639758889.627,5,2,2.913,6.475
1639758889.693,4,2,2.179,6.036
1639758889.693,5,2,2.913,6.475
1639758889.753,4,2,2.178,6.062
1639758889.753,5,2,2.913,6.475
1639758889.814,4,2,2.177,6.07
1639758889.814,5,2,2.913,6.475
1639758889.865,4,2,2.177,6.086
1639758889.865,5,2,2.913,6.475
1639758889.918,4,2,2.177,6.101
1639758889.918,5,2,2.913,6.475
1639758889.972,4,2,2.177,6.117
1639758889.972,5,2,2.913,6.475
1639758890.031,4,2,2.177,6.124
1639758890.031,5,2,2.913,6.475
1639758890.083,4,2,2.177,6.141
1639758890.083,5,2,2.913,6.475
1639758890.136,4,2,2.177,6.157
1639758890.136,5,2,2.913,6.475
1639758890.188,4,2,2.177,6.166
1639758890.188,5,2,2.913,6.475
1639758890.234,4,2,2.177,6.182
1639758890.234,5,2,2.913,6.475
1639758890.286,4,2,2.176,6.19
1639758890.286,5,2,2.913,6.475
1639758890.353,4,2,2.176,6.206
1639758890.353,5,2,2.913,6.475
1639758890.416,4,2,2.176,6.215
1639758890.416,5,2,2.913,6.475
1639758890.476,4,2,2.176,6.231
1639758890.476,5,2,2.913,6.475
1639758890.537,4,2,2.176,6.25
1639758890.537,5,2,2.913,6.475
1639758890.611,4,2,2.175,6.266
1639758890.611,5,2,2.913,6.475
1639758890.664,4,2,2.174,6.284
1639758890.664,5,2,2.913,6.475
1639758890.707,4,2,2.174,6.301
1639758890.707,5,2,2.913,6.475
1639758890.763,4,2,2.173,6.318
1639758890.763,5,2,2.913,6.475
1639758890.828,4,2,2.173,6.327
1639758890.828,5,2,2.913,6.475
1639758890.89,4,2,2.172,6.345
1639758890.89,5,2,2.913,6.475
1639758890.956,4,2,2.172,6.352
1639758890.956,5,2,2.913,6.475
1639758891.005,4,2,2.171,6.37
1639758891.005,5,2,2.913,6.475
1639758891.045,4,2,2.171,6.386
1639758891.045,5,2,2.913,6.475
1639758891.084,4,2,2.17,6.403
1639758891.084,5,2,2.913,6.475
1639758891.122,4,2,2.17,6.41
1639758891.122,5,2,2.913,6.475
1639758891.162,4,2,2.17,6.419
1639758891.162,5,2,2.913,6.475
1639758891.224,4,2,2.169,6.426
1639758891.224,5,2,2.913,6.475
1639758891.272,4,2,2.169,6.443
1639758891.272,5,2,2.913,6.475
1639758891.315,4,2,2.169,6.452
1639758891.315,5,2,2.913,6.475
1639758891.376,4,2,2.17,6.471
1639758891.376,5,2,2.913,6.475
1639758891.425,4,2,2.169,6.48
1639758891.425,5,2,2.913,6.475
1639758891.482,4,2,2.169,6.498
1639758891.482,5,2,2.913,6.475
1639758891.543,4,2,2.168,6.506
1639758891.543,5,2,2.913,6.475
1639758891.588,4,2,2.168,6.523
1639758891.588,5,2,2.913,6.475
1639758891.638,4,2,2.168,6.538
1639758891.638,5,2,2.913,6.475
1639758891.695,4,2,2.167,6.547
1639758891.695,5,2,2.913,6.475
1639758891.755,4,2,2.167,6.562
1639758891.755,5,2,2.913,6.475
1639758891.803,4,2,2.168,6.57
1639758891.803,5,2,2.913,6.475
1639758891.849,4,2,2.168,6.586
1639758891.849,5,2,2.913,6.475
1639758891.913,4,2,2.168,6.603
1639758891.913,5,2,2.913,6.475
1639758891.97,4,2,2.168,6.611
1639758891.97,5,2,2.913,6.475
1639758892.011,4,2,2.168,6.627
1639758892.011,5,2,2.913,6.475
1639758892.05,4,2,2.167,6.644
1639758892.05,5,2,2.913,6.475
1639758892.089,4,2,2.167,6.653
1639758892.089,5,2,2.913,6.475
1639758892.129,4,2,2.166,6.66
1639758892.129,5,2,2.913,6.475
1639758892.17,4,2,2.167,6.669
1639758892.17,5,2,2.913,6.475
1639758892.208,4,2,2.167,6.679
1639758892.208,5,2,2.913,6.475
1639758892.247,4,2,2.166,6.695
1639758892.247,5,2,2.913,6.475
1639758892.286,4,2,2.166,6.704
1639758892.286,5,2,2.913,6.475
1639758892.324,4,2,2.165,6.713
1639758892.324,5,2,2.913,6.475
1639758892.385,4,2,2.165,6.721
1639758892.385,5,2,2.913,6.475
1639758892.468,4,2,2.164,6.739
1639758892.468,5,2,2.913,6.475
1639758892.532,4,2,2.165,6.748
1639758892.532,5,2,2.913,6.475
1639758892.599,4,2,2.164,6.773
1639758892.599,5,2,2.913,6.475
1639758892.66,4,2,2.164,6.789
1639758892.66,5,2,2.913,6.475
1639758892.727,4,2,2.163,6.807
1639758892.727,5,2,2.913,6.475
1639758892.785,4,2,2.162,6.822
1639758892.785,5,2,2.913,6.475
1639758892.851,4,2,2.163,6.831
1639758892.851,5,2,2.913,6.475
1639758892.914,4,2,2.161,6.847
1639758892.914,5,2,2.913,6.475
1639758892.982,4,2,2.16,6.862
1639758892.982,5,2,2.913,6.475
1639758893.05,4,2,2.159,6.88
1639758893.05,5,2,2.913,6.475
1639758893.119,4,2,2.159,6.896
1639758893.119,5,2,2.913,6.475
1639758893.197,4,2,2.159,6.916
1639758893.197,5,2,2.913,6.475
1639758893.286,4,1,2.139,6.962
1639758893.261,4,2,2.159,6.929
1639758893.261,5,2,2.913,6.475
1639758893.322,4,1,2.139,6.963
1639758893.357,4,1,2.14,6.962
1639758893.332,4,2,2.158,6.939
1639758893.332,5,2,2.913,6.475
1639758893.393,4,1,2.139,6.962
1639758893.428,4,1,2.139,6.962
1639758893.404,4,2,2.158,6.94
1639758893.404,5,2,2.913,6.475
1639758893.462,4,1,2.139,6.961
1639758893.494,4,1,2.139,6.961
1639758893.473,4,2,2.158,6.939
1639758893.473,5,2,2.913,6.475
1639758893.53,4,1,2.139,6.962
1639758893.562,4,1,2.139,6.962
1639758893.542,4,2,2.158,6.937
1639758893.542,5,2,2.913,6.475
1639758893.599,4,1,2.139,6.961
1639758893.633,4,1,2.139,6.961
1639758893.611,4,2,2.158,6.938
1639758893.611,5,2,2.913,6.475
1639758893.67,4,1,2.139,6.962
1639758893.679,4,2,2.158,6.937
1639758893.679,5,2,2.913,6.475
1639758893.702,4,1,2.139,6.961
1639758893.737,4,1,2.139,6.961
1639758893.773,4,1,2.139,6.961
1639758893.733,4,2,2.158,6.937
1639758893.733,5,2,2.913,6.475
1639758893.806,4,1,2.139,6.961
1639758893.844,4,1,2.139,6.961
1639758893.816,4,2,2.158,6.937
1639758893.816,5,2,2.913,6.475
1639758893.88,4,1,2.139,6.961
1639758893.917,4,1,2.139,6.961
1639758893.899,4,2,2.158,6.937
1639758893.899,5,2,2.913,6.475
1639758893.954,4,1,2.139,6.961
1639758893.991,4,1,2.139,6.961
1639758893.981,4,2,2.158,6.937
1639758893.981,5,2,2.913,6.475
1639758894.031,4,1,2.139,6.961
1639758894.043,4,2,2.158,6.937
1639758894.043,5,2,2.913,6.475
1639758894.07,4,1,2.139,6.961
1639758894.106,4,1,2.139,6.962
1639758894.099,4,2,2.158,6.937
1639758894.099,5,2,2.913,6.475
1639758894.145,4,1,2.139,6.961
1639758894.181,4,1,2.139,6.961
1639758894.16,4,2,2.158,6.937
1639758894.16,5,2,2.913,6.475
1639758894.219,4,1,2.139,6.961
1639758894.231,4,2,2.158,6.937
1639758894.231,5,2,2.913,6.475
1639758894.259,4,1,2.139,6.961
1639758894.295,4,1,2.139,6.961
1639758894.29,4,2,2.158,6.937
1639758894.29,5,2,2.913,6.475
1639758894.333,4,1,2.139,6.961
1639758894.372,4,1,2.139,6.961
1639758894.358,4,2,2.158,6.937
1639758894.358,5,2,2.913,6.475
1639758894.408,4,1,2.139,6.961
1639758894.448,4,1,2.139,6.961
1639758894.434,4,2,2.158,6.937
1639758894.434,5,2,2.913,6.475
1639758894.484,4,1,2.139,6.961
1639758894.521,4,1,2.139,6.961
1639758894.508,4,2,2.158,6.937
1639758894.508,5,2,2.913,6.475
1639758894.556,4,1,2.139,6.961
1639758894.571,4,2,2.158,6.937
1639758894.571,5,2,2.913,6.475
1639758894.594,4,1,2.139,6.961
1639758894.63,4,1,2.139,6.961
1639758894.626,4,2,2.158,6.937
1639758894.626,5,2,2.913,6.475
1639758894.668,4,1,2.139,6.962
1639758894.704,4,1,2.139,6.961
1639758894.689,4,2,2.158,6.937
1639758894.689,5,2,2.913,6.475
1639758894.74,4,1,2.139,6.961
1639758894.779,4,1,2.139,6.961
1639758894.766,4,2,2.158,6.937
1639758894.766,5,2,2.913,6.475
1639758894.817,4,1,2.139,6.961
1639758894.854,4,1,2.139,6.962
1639758894.844,4,2,2.158,6.937
1639758894.844,5,2,2.913,6.475
1639758894.891,4,1,2.139,6.961
1639758894.925,4,1,2.139,6.961
1639758894.909,4,2,2.158,6.937
1639758894.909,5,2,2.913,6.475
1639758894.965,4,1,2.139,6.962
1639758894.998,4,1,2.139,6.961
1639758894.978,4,2,2.158,6.937
1639758894.978,5,2,2.913,6.475
1639758895.036,4,1,2.139,6.961
1639758895.073,4,1,2.139,6.962
1639758895.05,4,2,2.158,6.937
1639758895.05,5,2,2.913,6.475
1639758895.11,4,1,2.139,6.961
1639758895.119,4,2,2.158,6.937
1639758895.119,5,2,2.913,6.475
1639758895.151,4,1,2.139,6.961
1639758895.186,4,1,2.139,6.961
1639758895.178,4,2,2.158,6.937
1639758895.178,5,2,2.913,6.475
1639758895.225,4,1,2.139,6.961
1639758895.262,4,1,2.139,6.961
1639758895.248,4,2,2.158,6.937
1639758895.248,5,2,2.913,6.475
1639758895.298,4,1,2.139,6.961
1639758895.332,4,1,2.139,6.961
1639758895.313,4,2,2.158,6.937
1639758895.313,5,2,2.913,6.475
1639758895.368,4,1,2.139,6.961
1639758895.405,4,1,2.139,6.961
1639758895.386,4,2,2.158,6.937
1639758895.386,5,2,2.913,6.475
1639758895.44,4,1,2.139,6.961
1639758895.474,4,1,2.139,6.961
