time,x,y,theta,speed,mti,mte,dti,dte
51-49-783918,4416,9053,-2.3605504035949707,0.0,,,,
51-49-795890,4416,9053,-2.3605504035949707,0.0,,,,
51-49-809684,4416,9053,-2.3605504035949707,0.0,,,,
51-49-821162,4416,9053,-2.3605504035949707,0.0,,,,
51-49-832219,4416,9053,-2.3605504035949707,0.0,,,,
51-49-843149,4416,9053,-2.3605504035949707,0.0,,,,
51-49-855588,4416,9053,-2.3605504035949707,0.0,,,,
51-49-866483,4416,9053,-2.3605504035949707,0.0,,,,
51-49-878579,4416,9053,-2.3605079650878906,0.0,,,,
51-49-890962,4416,9053,-2.3605079650878906,0.0,,,,
51-49-901283,4416,9053,-2.3605079650878906,0.0,,,,
51-49-912035,4416,9053,-2.3605079650878906,0.0,,,,
51-49-922971,4416,9053,-2.3605079650878906,0.0,,,,
51-49-934912,4416,9053,-2.3605079650878906,0.0,,,,
51-49-944525,4416,9053,-2.3605079650878906,0.0,,,,
51-49-954797,4416,9053,-2.3605079650878906,0.0,,,,
51-49-966269,4416,9053,-2.3605079650878906,0.0,,,,
51-49-977325,4420,9065,-2.3607265949249268,0.0,,,,
51-49-987975,4420,9065,-2.3607265949249268,0.0,,,,
51-49-999961,4420,9065,-2.3607265949249268,0.10005002501250625,,,,
51-50-012046,4420,9065,-2.3607265949249268,0.10005002501250625,,,,
51-50-022871,4420,9065,-2.3607265949249268,0.10005002501250625,,,,
51-50-033116,4420,9065,-2.3607265949249268,0.10005002501250625,,,,
51-50-044131,4420,9065,-2.3607265949249268,0.2876438219109555,,,,
51-50-055315,4420,9065,-2.3607265949249268,0.2876438219109555,,,,
51-50-066039,4420,9065,-2.3607265949249268,0.2876438219109555,,,,
51-50-077127,4420,9065,-2.3607265949249268,0.2876438219109555,,,,
51-50-088390,4417,9062,-2.3621978759765625,0.2876438219109555,,,,
51-50-098869,4417,9062,-2.3621978759765625,0.2876438219109555,,,,
51-50-109448,4417,9062,-2.3621978759765625,0.42521260630315155,,,,
51-50-119828,4417,9062,-2.3621978759765625,0.42521260630315155,,,,
51-50-130243,4417,9062,-2.3621978759765625,0.42521260630315155,,,,
51-50-141508,4417,9062,-2.3621978759765625,0.487743871935968,,,,
51-50-152884,4417,9062,-2.3621978759765625,0.487743871935968,,,,
51-50-164713,4417,9062,-2.3621978759765625,0.487743871935968,,,,
51-50-175912,4417,9062,-2.3621978759765625,0.487743871935968,,,,
51-50-188446,4412,9052,-2.360092878341675,0.5252626313156579,,,,
51-50-199459,4412,9052,-2.360092878341675,0.5252626313156579,,,,
51-50-210836,4412,9052,-2.360092878341675,0.5252626313156579,,,,
51-50-222986,4412,9052,-2.360092878341675,0.5252626313156579,,,,
51-50-233390,4412,9052,-2.360092878341675,0.5252626313156579,,,,
51-50-244114,4412,9052,-2.360092878341675,0.5377688844422212,,,,
51-50-253578,4412,9052,-2.360092878341675,0.5377688844422212,,,,
51-50-264697,4412,9052,-2.360092878341675,0.5377688844422212,,,,
51-50-274940,4412,9052,-2.360092878341675,0.5377688844422212,,,,
51-50-286589,4390,9026,-2.364497423171997,0.5377688844422212,,,,
51-50-296090,4390,9026,-2.364497423171997,0.5627813906953477,,,,
51-50-308101,4390,9026,-2.364497423171997,0.5627813906953477,,,,
51-50-318982,4390,9026,-2.364497423171997,0.5627813906953477,,,,
51-50-329457,4390,9026,-2.364497423171997,0.5627813906953477,,,,
51-50-340228,4390,9026,-2.364497423171997,0.5002501250625313,,,,
51-50-352100,4390,9026,-2.364497423171997,0.5002501250625313,,,,
51-50-362454,4390,9026,-2.364497423171997,0.5002501250625313,,,,
51-50-374097,4390,9026,-2.364497423171997,0.5002501250625313,,,,
51-50-387437,4337,8984,-2.379459857940674,0.47523761880940474,,,,
51-50-399536,4337,8984,-2.379459857940674,0.47523761880940474,,,,
51-50-410299,4337,8984,-2.379459857940674,0.47523761880940474,,,,
51-50-420900,4337,8984,-2.379459857940674,0.47523761880940474,,,,
51-50-431058,4337,8984,-2.379459857940674,0.47523761880940474,,,,
51-50-441060,4337,8984,-2.379459857940674,0.47523761880940474,,,,
51-50-451868,4337,8984,-2.379459857940674,0.5002501250625313,,,,
51-50-462141,4337,8984,-2.379459857940674,0.5002501250625313,,,,
51-50-471950,4337,8984,-2.379459857940674,0.5002501250625313,,,,
51-50-481874,4337,8984,-2.379459857940674,0.5002501250625313,,,,
51-50-492878,4296,8946,-2.382748603820801,0.5002501250625313,,,,
51-50-504517,4296,8946,-2.382748603820801,0.5002501250625313,,,,
51-50-516523,4296,8946,-2.382748603820801,0.47523761880940474,,,,
51-50-526545,4296,8946,-2.382748603820801,0.47523761880940474,,,,
51-50-536020,4296,8946,-2.382748603820801,0.47523761880940474,,,,
51-50-545878,4296,8946,-2.382748603820801,0.47523761880940474,,,,
51-50-558039,4296,8946,-2.382748603820801,0.46273136568284146,,,,
51-50-568897,4296,8946,-2.382748603820801,0.46273136568284146,,,,
51-50-578297,4296,8946,-2.382748603820801,0.46273136568284146,,,,
51-50-589342,4250,8899,-2.389551877975464,0.46273136568284146,,,,
51-50-599460,4250,8899,-2.389551877975464,0.47523761880940474,,,,
51-50-609408,4250,8899,-2.389551877975464,0.47523761880940474,,,,
51-50-621574,4250,8899,-2.389551877975464,0.47523761880940474,,,,
51-50-631750,4250,8899,-2.389551877975464,0.47523761880940474,,,,
51-50-642605,4250,8899,-2.389551877975464,0.47523761880940474,,,,
51-50-652829,4250,8899,-2.389551877975464,0.47523761880940474,,,,
51-50-664185,4250,8899,-2.389551877975464,0.5002501250625313,,,,
51-50-675043,4250,8899,-2.389551877975464,0.5002501250625313,,,,
51-50-686070,4250,8899,-2.389551877975464,0.5002501250625313,,,,
51-50-696434,4217,8868,-2.3937089443206787,0.487743871935968,,,,
51-50-706610,4217,8868,-2.3937089443206787,0.487743871935968,,,,
51-50-717307,4217,8868,-2.3937089443206787,0.487743871935968,,,,
51-50-729005,4217,8868,-2.3937089443206787,0.487743871935968,,,,
51-50-740821,4217,8868,-2.3937089443206787,0.487743871935968,,,,
51-50-750689,4217,8868,-2.3937089443206787,0.487743871935968,,,,
51-50-760624,4217,8868,-2.3937089443206787,0.5002501250625313,,,,
51-50-770895,4217,8868,-2.3937089443206787,0.5002501250625313,,,,
51-50-782474,4217,8868,-2.3937089443206787,0.5002501250625313,,,,
51-50-792220,4217,8868,-2.3937089443206787,0.5002501250625313,,,,
51-50-803787,4183,8838,-2.4072389602661133,0.5002501250625313,,,,
51-50-815166,4183,8838,-2.4072389602661133,0.5002501250625313,,,,
51-50-826138,4183,8838,-2.4072389602661133,0.5002501250625313,,,,
51-50-836343,4183,8838,-2.4072389602661133,0.5002501250625313,,,,
51-50-848083,4183,8838,-2.4072389602661133,0.5002501250625313,,,,
51-50-858647,4183,8838,-2.4072389602661133,0.5002501250625313,,,,
51-50-870227,4183,8838,-2.4072389602661133,0.5002501250625313,,,,
51-50-880965,4183,8838,-2.4072389602661133,0.5002501250625313,,,,
51-50-890403,4183,8838,-2.4072389602661133,0.5002501250625313,,,,
51-50-901261,4138,8801,-2.428708791732788,0.5002501250625313,,,,
51-50-912369,4138,8801,-2.428708791732788,0.5002501250625313,,,,
51-50-922607,4138,8801,-2.428708791732788,0.5002501250625313,,,,
51-50-932894,4138,8801,-2.428708791732788,0.5002501250625313,,,,
51-50-942749,4138,8801,-2.428708791732788,0.5002501250625313,,,,
51-50-952327,4138,8801,-2.428708791732788,0.5002501250625313,,,,
51-50-964084,4138,8801,-2.428708791732788,0.487743871935968,,,,
51-50-974912,4138,8801,-2.428708791732788,0.487743871935968,,,,
51-50-984649,4138,8801,-2.428708791732788,0.487743871935968,,,,
51-50-995915,4092,8762,-2.436944007873535,0.487743871935968,,,,
51-51-006572,4092,8762,-2.436944007873535,0.487743871935968,,,,
51-51-017648,4092,8762,-2.436944007873535,0.5002501250625313,,,,
51-51-027009,4092,8762,-2.436944007873535,0.5002501250625313,,,,
51-51-039017,4092,8762,-2.436944007873535,0.5002501250625313,,,,
51-51-053099,4092,8762,-2.436944007873535,0.5002501250625313,,,,
51-51-063010,4092,8762,-2.436944007873535,0.5002501250625313,,,,
51-51-073574,4092,8762,-2.436944007873535,0.5002501250625313,,,,
51-51-083503,4092,8762,-2.436944007873535,0.487743871935968,,,,
51-51-093888,4092,8762,-2.436944007873535,0.487743871935968,,,,
51-51-104194,4046,8724,-2.449418067932129,0.487743871935968,,,,
